Title,Genre,Rating,Rating Count,Review Data
Game Over,"Thriller, Horror",6.3,53,"Swapna, a nyctophobic game designer on a turbulent road to recovery from an incident that scarred her deeply, has to fight her inner demons to stay alive in the game called life."
Kadaikutty Singam,"Romance, Comedy, Family, Action",7.2,16,"Gunasingam, a family-loving farmer who hails from a small town, tries his best to keep his big family united despite him being misunderstood by many."
Pariyerum Perumal,"Romance, Drama",8.1,59,"A law student from a lower caste begins a friendship with his classmate, a girl who belongs to a higher caste, and the men in her family start giving him trouble over this."
Anbe Sivam,"Comedy, Drama",7.4,55,Nalla Sivam and Anbarasu meet under different circumstances and their lives are changed as they take the journey of their life.
Super Deluxe,"Comedy, Thriller, Drama",7.7,83,"An unfaithful newly-wed wife, an estranged father, a priest and an angry son suddenly find themselves in the most unexpected predicaments, each poised to experience their destiny, all on one fateful day."
M. Kumaran S/O Mahalakshmi,Romance,6.9,20,"Kumaran's life is all about his mother Mahalakshmi, who is separated from her husband Eshwar. Kumaran is passionate about kickboxing and he shares a very special relationship with his mother. In between, Kumaran falls in love with Malabar. But his life is destroyed after his mother's death. On the deathbed she tells her son to meet his father, a kick boxing champion, who lives in Malaysia. Kumaran goes to Malaysia to meet him and he comes..."
Friends,"Family, Drama, Comedy",6.9,24,"A man values his best friend more than anything else in the world. One day he confesses a dark secret from their childhood to his wife, which is overheard by another. Once the secret gets out, the friendship is destroyed."
Karnan,"Drama, Action",7.1,39,"Karnan, an angry young man, fights for the rights of his oppressed people. Can he save them from those who wield power and weapons?"
Chandramukhi,"Comedy, Drama, Horror",7.1,53,"Creepy happenings in an abandoned mansion are attributed to the ghost of an ancient courtesan, back for revenge."
Kaappaan,"Action, Thriller",5.6,26,"A Special Protection Group officer has to identify the threat to the prime minister, who he is protecting, and also the nation."
OK Kanmani,"Romance, Drama",6.8,47,Adhi and Tara are in a live-in relationship but they are both unwilling to get married. How do they realize that marriage is just a natural progression of their relationship?
Jagame Thandhiram,"Crime, Comedy",6.1,30,"When a clever, carefree gangster is recruited to help an overseas crime lord take down a rival, he is caught off guard by the moral dilemmas that follow."
Cadaver,"Crime, Mystery, Thriller",6.3,6,A pathologist and a police commissioner try to solve a series of murders involving a prisoner. Their journey leads to shocking revelations!
Hey Ram,"History, Drama, Crime",6.5,36,Saketh Ram's wife is raped and killed during direct action day riots in Calcutta. He is convinced that Mahatma Gandhi is responsible for all the problems happening in the country. He sets out to kill him.
Vada Chennai,"Action, Crime, Drama",7.8,69,A young carrom player in North Chennai becomes a reluctant participant in a war between two feuding gangsters.
Yavarum Nalam,"Mystery, Horror",6.2,55,"Manohar, along with his family, moves into a new apartment on the 13th floor. However, their peace is disturbed by a spirit that uses the television set as a medium to communicate with them."
Dhuruvangal Pathinaaru,"Thriller, Action, Crime, Mystery",7.9,75,A former cop looks back on the case which left him disabled and forced him to quit the force.
U Turn,"Thriller, Horror, Crime",7,39,"When a flyover in the city becomes the hotbed of accidents, a young reporter decides to investigate the issue. Her quest for an answer would lead her into a web of intrigue, murder and mystery."
Kanchana 3,"Comedy, Horror",4.5,16,A young man who gets easily scared is possessed by a ghost that is seeking revenge.
Azhagiya Tamil Magan,"Action, Drama",5.1,20,"Guru has the ability to predict future events. With his unique ability, he identifies several future events, including the attempted murder of his lover by a look-alike."
Vishwaroopam,"Action, Thriller",6.1,75,"Vishwanathan, a Kathak dance teacher in New York, is in a rather happy marriage with Nirupama who is a nuclear oncologist. Nirupama is from a middle class family in Chennai, she marries Vishwanath (a dance master) to pursue her higher studies in the USA. But when Nirupama wants to break up with her husband, she engages a private detective. That's when the pandora's box opens up."
Master,"Action, Thriller",7,62,"An alcoholic professor is sent to a juvenile school, where he clashes with a gangster, who uses the children of the school for criminal activities."
Viswasam,"Action, Drama",6.5,36,"A village ruffian, who settles disputes in his native, takes on a big shot when he tries to sort out the rough patch in his marriage after several years."
Vivegam,"Action, Thriller",4.9,45,"A group of counter-terrorism agents are brought in to track down a man who was once the head of their squad, and is believed to have gone rogue."
Imaikkaa Nodigal,"Action, Thriller, Drama, Crime",7.2,55,A CBI officer goes in search of a ruthless serial killer. Things get worse when the murderer targets the former and her family
Darbar,"Action, Drama, Thriller",6.1,39,"Aaditya, the commissioner of Mumbai Police, sets out to catch Ajay, a drug peddler. However, he uncovers a deeper controversy linked to an international drug lord and must mete out justice."
Alaipayuthey,"Romance, Drama",7.3,32,"Karthik and Shakthi marry against the wishes of their families and start their new life. However, they soon realize that marriage is not the bed of roses they had imagined it would be."
Yaaradi Nee Mohini,"Family, Drama, Action",7.1,21,"Vasu falls in love with Keerthi, but when he expresses his feelings to her, she turns him down and says that her marriage has already been arranged. He later learns that she is set to marry his close friend Cheenu."
FIR,"Thriller, Action",5.7,7,"Irfan, an innocent Muslim chemical engineer with an ordinary life, is caught in inexplicable circumstances, when accused of being a most-wanted terrorist, that alter his life & everyone around him."
Aranmanai 2,"Action, Horror, Romance",4.5,16,A ghost enters a palatial mansion and starts attacking the men in the family. What is its back story?
Vettaiyaadu Vilaiyaadu,"Action, Thriller",6.9,37,"DCP Raghavan sets off on the trail of the killers of Rani, the daughter of a police officer. Following this, many more murders take place, leading him to New York to capture the maniac killer."
Thunivu,"Action, Thriller, Crime, Comedy, Mystery",6.6,14,"A gang goes to rob a bank only to find that there's already a criminal mastermind holding it for ransom, but his identities and motives behind the heist remains mysterious. As they plan to collect the bounty and disappear without a trace, their crimes and their past slowly catches up with them."
Singam,"Action, Comedy, Crime",6.8,53,"The story, set in the backdrop of Nallore, a small town in Thoothukudi District, revolves around Sub-Inspector Durai Singam, a brave and just policeman who serves in his hometown primarily to fulfill his father’s wish. Durai Singam settles every dispute in his town patiently with his words of wisdom and resorts to force only when the situation demands it. Kavya, a city girl who comes on vacation to Nallore, falls in love with Durai Singam. Erimalai, Durai Singam's bumbling colleague and friend, often accompanies him."
Panni Kutty,"Drama, Comedy",4,1,A down-on-luck man has to run over a piglet that had caused a minor accident to get lucky in life. But the animal belongs to a man who has to keep it safe for his wedding to happen!
Polladhavan,"Action, Drama",7.3,21,"Prabhu is dejected when he learns that his bike has been stolen. He decides to find the people who stole the bike, but lands in trouble when he realises that his bike has been used to transport drugs."
3,"Drama, Romance",6.5,46,"Ram and Janani are high school sweethearts who eventually get married. However, Janani is mystified when Ram commits suicide all of a sudden and she tries to find out the truth behind his death."
Theeran Adhigaaram Ondru,"Action, Thriller",7.7,53,A hardnosed cop goes after a gang of ruthless dacoits who have been terrorising residents along the highway for a decade.
I,"Thriller, Action",7,95,A deformed hunchback kidnaps a bride on the day of her marriage and holds her hostage while his connection to her and his targets is revealed in a series of flashbacks that unfold as he starts seeking revenge.
Pokkiri,"Action, Thriller",7,49,"Tamil is a killer for hire, and will accept any contract provided the amount is right. The Police want him for questioning, while the underworld needs him to silence their opponents. No one really knows this assassin's background. It is only Tamil who knows his real identity and he has no intention of sharing it with anyone."
Boys,"Drama, Comedy, Romance",6.8,36,"The story centers on six youngsters, who experience the downfalls of teenage life. The film conveys a message about the importance of a good education and career over other distractions, such as romance and sex."
Alexander Babu: Alex in Wonderland,"Comedy, Music",9.7,6,"This is Alex’s first solo standup special. This 120-minute show will include his typical rib-tickling and knee-slapping comedy and plenty of music and Tamil. Being passionate about music, Alex steals every opportunity to sing and play his musical instruments. Alex draws from his varied life experiences from growing up in a village in Tamil Nadu to working in corporate America, and brings unique colors to his acts. In this show, his insane optimism towards life will rub off on to you, and he will connect you with your own wonderland. A wonderful show that you can take your children, parents, elders and neighbors along and sit together and watch. The show is wholesome and clean and is 7+."
Kaavalan,"Drama, Family, Romance",5.6,31,"Bhoominathan aka Bhoomi is introduced to us as a person who gets into many local fights. Worried about his future, his family sends him to Muthuramalingam (Raj Kiran), a much respected personality in his place Semmanur, to put Bhoomi's life on the right track. But things don't go as planned. Muthuramalingam's adversary threatens to kill his daughter Meera (Asin) as a revenge against his own daughter's fate. So Bhoomi is given the job of Meera's bodyguard at college. Meera goes to college with her friend Madhu but is irritated by Bhoomi's presence everywhere. So she devises a plan."
Sarpatta Parambarai,"Action, Drama",7.2,22,"When Sarpatta Parambarai is challenged to a do-or-die match, Kabilan, a young labourer, must choose whether to put on the gloves himself and lead his clan to victory, or be dissuaded by his disapproving mother and dangerous politics."
Raavanan,"Action, Adventure, Crime",6.9,36,"After inspector Dev stirs the reign of Veeraiya, a tribal outlaw, the latter responds by kidnapping his wife, Ragini. While she tries to escape from him, Dev fights many resistances to find her."
Aadhavan,"Thriller, Action, Comedy",5.3,33,"A professional assassin is tasked with the murder of a prominent local judge; however, after a series of failed attempts, he is forced to deal with complications and old relationships arising from his troubled past."
Velayudham,Action,5.2,35,An ordinary milkman is forced to become the fictional character Velayudham who takes on the scum of the earth.
Annaatthe,"Action, Family, Drama",5.3,11,"Kaaliyan is a village president in the Madurai district, who is fondly called Annaatthe. His nieces compete with each other to marry him. But, he falls in love with another woman who visits their village. Kaaliyan has a sister who gets married and shifts to Kolkata where she faces some unknown threats. Soon, her brother comes to her aid."
Aayirathil Oruvan,"Action, Adventure",6.5,32,"Anitha, a government official, embarks on a journey to find Chandramouli, an archaeologist, who went to Vietnam to search for any existence of the prince of the Chola dynasty."
Agilan,"Action, Drama",6,2,Crane operator Agilan does all illegal activities in the harbour. Gokul is appointed to stop all these illegal activities. He brings in all the modern amenities to stop all these illegal activities. Agilan is capable of overcoming all the equipment and technology and continues with his activities. Gokul arrests Agilan to find the reason for all these activities.
Kannum Kannum Kollaiyadithaal,"Comedy, Romance, Drama",6.8,58,Two wily online scammers mend their fraudulent ways after meeting the girls of their dreams — until a deceitful discovery throws their world for a loop.
Anjaan,"Action, Thriller, Crime",5.6,35,"Krishna (Suriya) comes to Mumbai in search of his brother Raju Bhai (Suriya), an underworld don. Through Raju Bhai's gangster friends, his past life is revealed. What happened to Raju Bhai? Will Krishna find him?"
Bagavathi,"Action, Romance, Drama",5.3,13,"Bagavathi, a tea vendor, has big dreams for his younger brother, Guna. However, when Guna's girlfriend's father kills him, Bagavathi must fight to protect Guna's unborn child."
Enai Noki Paayum Thota,"Action, Drama, Romance",5.5,11,"Raghu, a normal college guy gets dragged into trouble when he falls in love with Lekha and their whirlwind romance changes the course of his life."
Madrasapattinam,"Drama, History, Romance",7,25,"Amy, the wife of an English governor, falls in love with Parithi, a villager, and they run away. However, they are caught and she is taken back to London. Years later, she comes back in search of him."
Valimai,"Action, Crime, Thriller",5.8,18,"A honest cop tries to track down the brain behind a series of robberies and murders, but things turn personal when his family become pawns in the criminal's game."
Kasethan Kadavulada,"Comedy, Drama",2,1,
Uthama Puthiran,"Drama, Comedy, Action",6.3,15,"Siva is asked to help a friend in a love marriage. Siva kidnaps Pooja on a mistaken identity from the marriage hall. When Pooja is kidnapped, her uncles and their henchmen follow them."
Vasool Raja MBBS,Comedy,7,23,"A goon, Rajaraman, enrols himself in a medical college to fulfil his father's dream. He defies the college rules and creates problems for Dr Vishwanathan."
Sillunu Oru Kaadhal,"Romance, Family",7.1,33,"Gowtham and Kundhavi married then she finds a diary from his time at college, five years earlier. She thinks he would rather be married to Aishwarya, his college sweetheart, so she makes arrangements for them to meet again."
Kavan,"Thriller, Drama",7.2,33,"A budding journalist passionate about ethical, noble, hard-hitting journalism understands the more flourishing ghetto of sensationalism &amp; news fabrication that the Entertainment TV Channel he belongs to, thrives on. When caught in a dilemma of whether to hold for a while or rise in protest, a situation forces him to make a decision that puts him out of work but… there begins his work."
Sarkar,"Action, Drama",5.9,55,"NRI corporate Sundar Ramasamy comes to India to vote, only to learn that his vote has already been cast. While he reclaims his right legally, it also sets in motion a chain of events that eventually lead to him entering the political fray, trying to change the system."
Kaatru Veliyidai,"Romance, Thriller",5.4,24,"Romance is in the air as the lives of Fighter Pilot Varun & Medical Doctor Leela collide amidst the scenic beauty of Kashmir. While Leela yearns for Varun’s affection in the delicate of ways, Varun’s idea of love is all give-give, not give-take. Just as the avalanche of built-up emotions sets rolling, Varun becomes a PoW post the Kargil episode. Do their paths cross later?"
Billa,"Action, Thriller",6.7,48,"The intertwined stories of an international Don in Malaysia, David Billa, chased by the cops, an Indian police officer, a woman who wants to avenge the death of her brother, and a lowly thief, Velu who shares with Billa, an unusual connection."
Rocketry: The Nambi Effect,"Drama, Action, History",7.5,20,"Based by the life of ISRO Scientist Nambi Narayanan who was falsely accused of being a spy and arrested in 1994. Though free, he is still fighting for justice, with those police officials alleged to have falsely implicated him, still free."
Andhaghaaram,Thriller,7.6,17,"As a blind librarian, dispirited cricketer and desolate psychiatrist each seek retribution and release, their lives overlap under eerie influences."
Siva Manasula Sakthi,"Romance, Comedy",6.5,19,"Siva and Sakthi lie about their respective jobs when they meet. Once the truth comes out, they decide to take revenge but start developing feelings for each other instead."
Thani Oruvan,"Thriller, Action",7.3,74,An idealistic cop and an ambitious scientist-businessman indulge in a high-stake battle of wits.
Vallavan,"Action, Romance",5.6,9,"A man loves a woman even though she is three years older than him. Although she reciprocates initially, the age difference and his past with a classmate lead her to break up with him."
Singam II,"Action, Comedy, Crime",5.8,44,"Picking up the storyline from where Singam ended, Duraisingam has gone undercover after meeting the Home Minister and is working as an NCC officer in a school in Thoothukudi. The only people who know about this operation are the Chief Minister and Home Minister apart from himself."
Jigarthanda,"Action, Drama, Thriller",7.3,46,A budding director endeavors to research a merciless gangster for making a film on gangsterism. But his secret attempts to conduct the research fail when he gets caught for snooping.
Soodhu Kavvum,"Comedy, Thriller, Crime",7.1,54,Dass specialises in small time kidnapping and has his own set of rules. The primary and most important among them is not to get involved with influential people. Three jobless youngsters meet Dass and the four take up an assignment for a hefty sum that throws away this primary rule and end up being chased by a dreaded policeman.
Iravukku Aayiram Kangal,"Action, Crime, Thriller",6.8,15,"Three strangers, who were cheated by a three-member fraud gang, hatch plan to take revenge on their leader, and go to his home around same time. All of them get the shock of their life when they find someone murdered at the home."
Aval,"Horror, Thriller",6,34,"Two families have a tough time dealing with a revenge-seeking spirit, which is strangely connected with one of its members"
Virumaandi,"Drama, Action",7.1,19,"A reporter researching the death penalty meets Virumaandi and Kothaala. While listening to their versions of the same story, she realises that Virumaandi is being punished for a crime he did not commit."
Spyder,"Action, Thriller",5.4,45,A surveillance expert who wants to help people comes across a foe who is the very definition of evil. Can he stop the man before he destroys everything?
Mayakkam Enna,"Drama, Family",6.4,22,"Karthik splits his time between aimlessly hanging around his friends and dreams of being an assistant to his role model, an arrogant yet world renowned wildlife photographer. When Karthik's close friend Sundar introduces his girlfriend Yamini to their group, they can't stand each other initially, but there lies the twist, when opposites attract."
Nala Damayanthi,Comedy,7.5,6,"A village cook Ramji goes to Australia to become a chef at a multi-millionaire Indian's home. Unfortunately, the millionaire dies of indigestion the day Ramji arrives, leaving him jobless with an expired visa. Desperate to stay and earn, he starts working illegally as a cook, but to stay on, he needs to get legal. A solution comes up when Damayanthi, a free-spirited biker, agrees to marry the docile cook for a price."
7Aum Arivu,"Action, Science Fiction, Thriller",6.7,49,A genetic engineering student tries to bring back the skills of a legend of the past and use his skills to save India from a deadly virus attack by China.
Remo,"Comedy, Romance",5.7,23,"An aspiring actor dresses up as a female nurse to bag a role in a film, and more importantly, woo the love of his life."
Vedalam,Action,5.9,45,"Ganesh, a cab driver and a doting brother to his sister Tamizh, is hunting down three notorious criminals in Kolkata. Who is he actually and what's his motive?"
Vaaranam Aayiram,"Drama, Romance",7.4,49,"A son deals with the death of his father and examines how their relationship influences him through growing up, romance, tragedy and adventure."
Viruman,"Action, Family",5.8,11,"An intrepid and good-hearted son fights to make his arrogant father pay the price for his sins, which includes his mother's death, and save his brothers from the man's grip."
Pizza,"Thriller, Comedy, Romance, Horror",6.9,52,The story is about how around a pizza delivery boy lands in a mysterious circumstance and how it works a dramatic change in his life. A very different thriller which will make you sweat.
Baba,"Drama, Action, Fantasy",5.7,16,"Baba is an atheist who always questions the existence of a higher power. But when a turn of events bestows him with divine powers, he uses the opportunity to help other people."
Villu,"Drama, Action, Comedy",4,20,"A son decides to avenge his father, an army officer, who was falsely framed and killed by three corrupt officers. Fatefully, he also ends up falling in love with the daughter of one of the killers."
Doctor,"Action, Comedy, Thriller",6.3,23,An army doctor helps his love interest's family to find their kidnapped daughter.
Cobra,"Action, Thriller",6.8,13,"A genius mathematician doubles up as a hit man, assassinating people opposing a ruthless corporate behemoth. While he manages to stay ahead of the Interpol and the psychotic head of the corporation, who are after him, can he evade the mysterious hacker who is keen to unmask him?"
Sachein,"Drama, Romance",6.5,26,"A happy-go-lucky college student falls in love with a beautiful young woman at first sight, but decides to use a unique approach to get close to her, as she has many admirers in the college. How will their relationship evolve?"
Kanna Laddu Thinna Aasaiya,Comedy,4.3,9,"Shiva and his friends fall for Sowmya, who has just moved into their locality. They are forced into a competition to win over the girl."
Hero,"Crime, Thriller, Action",6.8,17,A fraudster gets to fulfill his childhood dream of being a superhero when he takes on a ruthless businessman whose business strategy is to crush the dreams of children.
Maanagaram,"Thriller, Action",7.6,40,A handful of diverse characters find themselves in extraordinary situations that are interlinked with one another.
Sura,"Action, Comedy, Drama",2.4,23,"When a corrupt politician tries to seize the land of his villagers, a brave and powerful fisherman sets out to fight against him."
Nerkonda Paarvai,"Drama, Action, Thriller",7.1,18,"When three young women are harassed and implicated in a crime they didn't commit, a bipolar lawyer sets out to help them clear their names and prove it to everyone that a woman's consent matters."
Papanasam,"Crime, Drama, Family, Thriller",7.9,37,"A cinephile tries to protect his family by hiding a heat-of-the-moment murder committed by his daughter by taking cues from the films he has watched. With the victim the son of a cop, can he get away with it?"
Thupparivaalan,"Action, Crime, Thriller",7.4,41,Detective Kaniyan Poonkundran is hungry for a challenging case to investigate and the mystery of a murdered dog leads to a rival who could be the match for him.
Deiva Thirumagal,"Drama, Family",7.5,24,"An intellectually disabled man fights for custody of his 7-year-old daughter, and in the process teaches his opponent lawyer the value of love and family."
Naan Mahaan Alla,"Action, Drama, Thriller, Crime",6.7,30,"A playful young man leads a very happy life, but everything changes when his father witnesses a heinous crime."
Raja Rani,"Comedy, Drama, Romance",7.5,39,"John (Arya) and Regina (Nayanthara) are forced into wedlock against their wishes. Both undergo a rough patch initially in their marriage as they are not able to get over their past romances.  Prior to their marriage, Regina was in love with Surya (Jai), while John romanced Keerthana (Nazriya). What leads to the Arya-Nayanthara wedding? How they forget their romantic past and finally come together forms the rest of the story."
Peranbu,"Drama, Family",7.7,30,"A single father tries to raise his daughter, who has cerebral palsy, even as she is beginning to wake up to her sexuality."
Romeo Juliet,"Comedy, Drama, Romance",6.2,15,"Aishwarya, an air hostess, wants to marry a millionaire, but mistakes Karthik, a gym trainer, for a rich guy and woos him. She calls off the romance when she discovers that he isn't well off, but Karthik will not let her leave that easily."
Kaaviya Thalaivan,"Romance, History, Drama",7,10,"The two best disciples of Sivadas Swamigal, the earnest owner of a Drama school, are by design pitted against each other by the guru himself and this create multiple calamities ending in the duo's separation. Years pass by as one finds a good holding and the other wobbles away as a drunk loser only for them to cross paths again when the ongoing Indian Independence Movement gives another chance for the tables to turn!"
Thalaivii,Drama,4.7,11,"The biopic charts the life of actor-turned-chief minister J. Jayalalitha and the relationship paving her rapid yet complicated path to power, who served five terms as the Chief Minister for the Indian state of Tamil Nadu."
Miruthan,"Action, Romance, Thriller",5.3,20,"When a zombie outbreak occurs in a hill station, a traffic cop takes on the responsibility of transporting a team of doctors to a city hospital so that they can find an antidote."
Devathayai Kanden,"Drama, Romance",5.7,9,"Babu, a tea vendor, loves Uma, a rich girl. She too loves him for his sincerity. When she receives a proposal from a doctor, she accepts for the sake of a secure future. Babu sues her for cheating."
Maara,Drama,6.9,18,"When Paaru sees a fairy tale she heard from from a stranger as a child painted across the walls of a costal town, she goes in search of the man who painted it - Maara."
Kanthaswamy,"Action, Crime, Adventure",5,24,"A CBI officer moonlights as a modern day Robin Hood in the guise of the masked Kanthaswamy, as he helps fight corruption and aid impoverished people."
Seemaraja,"Drama, Comedy, Romance, Action",4.4,6,The heir of a royal family tries to save his land and villagers from a greedy man.
Enakku 20 Unakku 18,"Comedy, Drama, Romance",5.8,5,"Enakku 20 Unakku 18 (Tamil: எனக்கு 20 உனக்கு 18; English: I am 20, You are 18) is a 2003 Tamil romantic film written and directed by Jyothi Krishna. The film stars Tarun,Shriya Saran and Trisha Krishnan in the lead roles, while Vivek and Manivannan play other pivotal roles. The film was also simultaneously shot and released in Telugu with a slightly different cast as Nee Manasu Naaku Telusu. The film's score and soundtrack are composed by A. R. Rahman."
Paiyaa,"Action, Drama",6.3,35,"Shiva, an engineering graduate, is not serious about his job or future even when his friends advise him about life. He falls in love with a girl he saw at a bus stop and finally gets to ride with her in a car."
Pithamagan,"Action, Drama",7.3,33,"A young orphan grows up in a graveyard and is devoid of any human feelings; when he leaves the cemetery and meets people, he experiences emotions for the first time."
Saroja,"Comedy, Thriller",7.1,16,"Jaga, Ganesh, Ajay and Vishwas are motoring to a cricket game. An accident leads them to divert on a side road, where they encounter a criminal gang that has kidnapped a young girl and shot a policeman - in front of them...."
Kaakha Kaakha,"Crime, Thriller, Action",7.5,26,"After a police team kills his brother, a drug-dealing gangster vows to kill the entire team and their respective families."
